-BEGIN HEADER-,,,,,,,,,,,,,,,,
2021,7,29,14,371.93,759.6,270.76,127.28,24.36,0.77,4.08,29.32,91.59,8.38,274.71,10.33,274.77
2021,7,29,15,375.27,560.35,286.67,142.29,22.88,0.56,2.92,28.44,91.6,7.98,275.62,10.09,275.69
2021,7,29,16,212.86,329.33,180.42,78.51,12.45,0.2,0.95,27.05,91.65,7.04,275.86,9.48,275.91
2021,7,29,17,72.27,112.85,62.71,50.8,3.91,0.02,0.1,25.24,91.73,5.67,275.14,8.59,275.17
2021,7,29,18,0,0,0,0,0,0,0,23.66,91.82,4.77,273.29,8.08,273.38
2021,7,29,19,0,0,0,0,0,0,0,22.8,91.91,4.38,270.82,7.4,270.97
2021,7,29,20,0,0,0,0,0,0,0,22.19,91.97,4.42,267.47,7.21,267.7
2021,7,29,21,0,0,0,0,0,0,0,21.66,92,4.64,263.52,7.21,263.71
2021,7,29,22,0,0,0,0,0,0,0,21.17,91.99,5.01,261.93,7.4,262.18
2021,7,29,23,0,0,0,0,0,0,0,20.76,91.95,5.43,261.89,7.77,262.32
2021,7,30,0,0,0,0,0,0,0,0,20.55,91.91,5.56,261.92,7.69,262.36
2021,7,30,1,0,0,0,0,0,0,0,20.37,91.85,5.66,261.75,7.77,262.32
2021,7,30,2,0,0,0,0,0,0,0,20.2,91.81,5.75,261.24,7.84,261.87
2021,7,30,3,0,0,0,0,0,0,0,20.02,91.81,5.47,257.97,7.62,258.64
2021,7,30,4,0,0,0,0,0,0,0,19.82,91.84,5.32,254.23,7.52,254.95
2021,7,30,5,6.47,4.75,6.41,3.23,0.21,0,0,19.7,91.89,5.24,251.92,7.37,252.68
2021,7,30,6,98.23,108.88,89.08,43.99,5.12,0.03,0.12,20.47,91.96,5.91,252.38,7.35,254.03
2021,7,30,7,250.93,319.65,204.22,106.43,13.72,0.22,1.05,22.09,92.02,7.27,261.47,9.03,263.14
2021,7,30,8,452.13,544.45,340.05,173.79,25.7,0.61,3.17,23.59,92.06,8.09,269.28,9.94,270.05
2021,7,30,9,470.95,719.3,314.66,192.45,30.36,0.93,4.77,24.9,92.05,8.4,274.91,10.27,275.24
2021,7,30,10,506.84,876.2,308.23,213.8,31.49,1.09,5.5,26.08,92.01,8.37,278.1,10.19,278.15
2021,7,30,11,678.7,945.98,474.8,206.46,42.58,1.56,8.3,26.86,91.95,8.15,278.66,9.9,278.58
2021,7,30,12,599.47,938.52,423.62,178.74,37.35,1.36,7.2,27.28,91.88,7.92,277.31,9.66,277.15
2021,7,30,13,599.34,853.9,438.64,175.04,35.76,1.22,6.08,27.38,91.8,7.69,275.02,9.45,274.89
2021,7,30,14,499.31,705.48,372.45,159.6,29.28,0.88,4.6,27.33,91.75,7.37,273.47,9.16,273.42
2021,7,30,15,350.51,505.98,275.45,120.61,20.05,0.47,2.38,26.98,91.74,6.83,273.34,8.7,273.45
2021,7,30,16,191.09,278.42,161.59,71.52,10.59,0.16,0.75,26.25,91.76,5.64,273.33,7.62,273.35
2021,7,30,17,64.36,85.6,57.56,36.34,3.27,0.02,0.08,24.76,91.81,4.15,272.05,7.24,272.1
2021,7,30,18,0,0,0,0,0,0,0,23.26,91.86,3.91,269.89,7.57,269.94
2021,7,30,19,0,0,0,0,0,0,0,22.6,91.93,3.84,266.5,7.29,266.56
2021,7,30,20,0,0,0,0,0,0,0,22.07,92,3.76,261.28,6.93,261.5
2021,7,30,21,0,0,0,0,0,0,0,21.63,92.05,4.03,256.42,6.85,256.61
2021,7,30,22,0,0,0,0,0,0,0,21.23,92.05,4.44,254.05,6.87,254.31
2021,7,30,23,0,0,0,0,0,0,0,20.87,92.01,4.65,253.3,6.93,253.77
2021,7,31,0,0,0,0,0,0,0,0,20.69,91.96,5.01,254.34,7.13,254.82
2021,7,31,1,0,0,0,0,0,0,0,20.47,91.91,5.11,255.56,7.23,256.13
2021,7,31,2,0,0,0,0,0,0,0,20.24,91.88,4.81,257.05,6.96,257.62
2021,7,31,3,0,0,0,0,0,0,0,20.05,91.88,4.73,259.14,6.89,259.61
2021,7,31,4,0,0,0,0,0,0,0,19.87,91.91,4.58,260.38,6.7,260.67
2021,7,31,5,6.58,4.17,6.54,2.71,0.2,0,0,19.75,91.96,4.35,261.74,6.33,261.91
2021,7,31,6,83.16,92.08,74.35,42.43,4.12,0.02,0.1,20.52,92.03,5.11,265.88,6.34,266.82
2021,7,31,7,225.61,279.42,188.66,84.23,11.64,0.18,0.9,22.16,92.08,6.89,274.35,8.56,275.55
2021,7,31,8,393.49,493.83,312.07,126.23,21.02,0.51,2.62,23.88,92.1,8.09,279.84,9.85,280.65
2021,7,31,9,527.74,685.85,363.11,202.67,29.43,0.89,4.62,25.45,92.1,8.5,282.31,10.21,282.77
2021,7,31,10,574.58,823.85,400.48,187.35,32.92,1.13,5.75,26.91,92.06,8.67,283.61,10.27,283.81
2021,7,31,11,537.33,866.17,346.95,192.72,34.59,1.26,6.77,27.91,91.99,8.66,284.26,10.18,284.26
2021,7,31,12,545.27,862.48,314.16,234.84,35.09,1.27,6.83,28.46,91.89,8.63,284.58,10.16,284.52
2021,7,31,13,584.61,807.98,410.82,189.26,33.77,1.15,5.77,28.69,91.81,8.61,284.98,10.17,284.97
2021,7,31,14,469.24,663.85,334.11,170.02,26.8,0.8,4.17,28.48,91.77,8.6,285.98,10.22,286.01
2021,7,31,15,327.12,474.48,242.34,136.29,17.86,0.41,2.12,27.94,91.76,8.41,287.58,10.16,287.63
2021,7,31,16,191.92,263.17,154.88,89.94,10.12,0.15,0.73,26.99,91.81,7.82,288.63,9.69,288.61
2021,7,31,17,58.37,83.7,51.41,37.48,2.97,0.02,0.08,25.32,91.89,6.07,288.32,8.57,288.39
2021,7,31,18,0,0,0,0,0,0,0,23.52,91.96,4.51,286.2,7.92,286.2
2021,7,31,19,0,0,0,0,0,0,0,22.7,92.03,4.06,281.55,7.19,281.53
2021,7,31,20,0,0,0,0,0,0,0,22.04,92.09,3.66,274.04,6.66,274.1
2021,7,31,21,0,0,0,0,0,0,0,21.48,92.11,3.75,267.14,6.66,267.31
2021,7,31,22,0,0,0,0,0,0,0,20.95,92.09,4.05,261.9,6.78,262.19
2021,7,31,23,0,0,0,0,0,0,0,20.48,92.03,4.1,253.98,6.68,254.39
2021,8,1,0,0,0,0,0,0,0,0,20.38,91.97,4.5,246.02,6.64,246.48
2021,8,1,1,0,0,0,0,0,0,0,20.29,91.92,4.72,242.63,6.62,243.13
2021,8,1,2,0,0,0,0,0,0,0,20.17,91.88,4.8,243.64,6.65,244.07
2021,8,1,3,0,0,0,0,0,0,0,20.05,91.87,4.83,247.37,6.72,247.79
2021,8,1,4,0,0,0,0,0,0,0,19.94,91.88,4.75,251.68,6.69,252.05
2021,8,1,5,6.39,3.88,6.36,2.2,0.19,0,0,19.86,91.91,4.73,255.07,6.63,255.46
2021,8,1,6,69.67,85.33,61.15,41.19,3.35,0.02,0.08,20.68,91.95,5.69,261.56,7.21,263.22
2021,8,1,7,205.08,260.85,166.55,87.9,10.2,0.16,0.77,22.52,92,7.45,272.77,9.23,274.08
2021,8,1,8,368.07,467.85,288.97,122.64,19.2,0.45,2.33,24.35,92.02,8.46,279.51,10.3,280.27
2021,8,1,9,448.69,658.35,322.94,154.76,24.5,0.73,3.77,25.98,91.99,9.15,283.12,11,283.42
2021,8,1,10,458.66,801.52,297.89,172.94,28.08,0.95,4.83,27.31,91.92,9.49,284.1,11.32,284.14
2021,8,1,11,608.16,944.58,403.7,206.89,38.61,1.44,7.67,28.11,91.83,9.55,283.33,11.35,283.17
2021,8,1,12,657.01,933.08,379.35,282.05,42.72,1.57,8.45,28.51,91.73,9.45,281.49,11.23,281.32
2021,8,1,13,592.11,851.62,361.8,250.77,37.39,1.28,6.52,28.55,91.64,9.26,279.18,11.06,279.06
2021,8,1,14,469.61,697.27,299.23,214.4,29.09,0.87,4.55,28.16,91.6,8.84,277.11,10.7,277.09
2021,8,1,15,359.17,490.42,245.55,182.77,20.92,0.48,2.48,27.26,91.6,8.2,275.69,10.21,275.8
2021,8,1,16,233.8,274.2,178.61,134.2,12.3,0.17,0.85,26.05,91.65,7.04,274.2,9.39,274.34
2021,8,1,17,71.55,84.05,63.61,43.1,3.63,0.02,0.08,24.56,91.74,5.57,271.53,8.37,271.6
2021,8,1,18,0,0,0,0,0,0,0,23.28,91.83,4.81,266.46,7.78,266.66
2021,8,1,19,0,0,0,0,0,0,0,22.54,91.92,4.4,260.91,7.07,261.04
2021,8,1,20,0,0,0,0,0,0,0,21.95,92.01,3.91,255.3,6.45,255.41
2021,8,1,21,0,0,0,0,0,0,0,21.44,92.06,3.66,251.57,6.11,251.75
2021,8,1,22,0,0,0,0,0,0,0,20.96,92.04,3.91,249.9,6.26,250.1
2021,8,1,23,0,0,0,0,0,0,0,20.46,91.96,4.24,246.65,6.46,246.85
2021,8,2,0,0,0,0,0,0,0,0,20.1,91.87,4.49,246.51,6.54,246.71
2021,8,2,1,0,0,0,0,0,0,0,19.79,91.78,4.6,247.22,6.54,247.51
2021,8,2,2,0,0,0,0,0,0,0,19.51,91.73,4.79,246.57,6.77,246.98
2021,8,2,3,0,0,0,0,0,0,0,19.33,91.73,5.09,248.08,7.19,248.71
2021,8,2,4,0,0,0,0,0,0,0,19.19,91.76,5.1,250.51,7.26,251.04
2021,8,2,5,6.91,4.45,6.88,1.69,0.23,0,0,19.12,91.8,5.28,252.34,7.4,252.75
2021,8,2,6,99.69,108.33,88.94,52.11,5.19,0.03,0.12,19.99,91.85,6.48,255.9,8.22,257.1
2021,8,2,7,249.59,323.5,188.16,140.2,13.66,0.22,1.05,22,91.91,8.14,262.27,9.99,263.08
2021,8,2,8,435.88,544.55,293.89,220.13,25.96,0.62,3.2,24.2,91.94,8.66,265.19,10.43,265.66
2021,8,2,9,580.28,741.65,382,243.96,35.59,1.09,5.67,26.18,91.95,8.78,267.55,10.47,267.86
2021,8,2,10,649.94,883.55,383.62,286.38,41.57,1.45,7.42,27.8,91.91,8.69,269.95,10.27,270.13
2021,8,2,11,707.78,961.1,481.05,229.34,45.02,1.68,9.02,29.01,91.84,8.6,271.82,10.15,271.94
2021,8,2,12,693.95,956.15,440.33,257.55,44.72,1.66,8.88,29.79,91.76,8.46,272.86,9.99,272.96
2021,8,2,13,638.64,870.62,400.65,259.09,40.75,1.41,7.12,29.92,91.7,8.31,273.23,9.88,273.27
2021,8,2,14,539.67,725.12,314.52,283.37,33.47,1.01,5.25,29.58,91.68,8.07,271.5,9.7,271.62
2021,8,2,15,389.12,523.77,235.04,248.01,23.07,0.53,2.7,28.98,91.69,7.78,268.16,9.52,268.4
2021,8,2,16,223.51,294.33,160.81,152.76,12.86,0.19,0.92,27.58,91.73,7,264.75,9.21,264.89
2021,8,2,17,85.84,94.55,72.17,74.84,4.37,0.02,0.1,25.57,91.81,5.6,261.82,8.85,261.83
2021,8,2,18,0,0,0,0,0,0,0,23.48,91.89,4.68,259.33,8.48,259.33
2021,8,2,19,0,0,0,0,0,0,0,22.56,91.96,4.68,256.59,8.13,256.66
2021,8,2,20,0,0,0,0,0,0,0,21.8,92.03,4.59,253.57,7.7,253.74
2021,8,2,21,0,0,0,0,0,0,0,21.17,92.09,4.61,250.18,7.37,250.35
2021,8,2,22,0,0,0,0,0,0,0,20.62,92.08,4.81,249.36,7.2,249.54
2021,8,2,23,0,0,0,0,0,0,0,20.11,92.05,4.69,249.03,6.9,249.39
2021,8,3,0,0,0,0,0,0,0,0,19.84,91.99,4.78,249.35,6.85,249.73
2021,8,3,1,0,0,0,0,0,0,0,19.67,91.94,4.92,249.47,6.9,249.92
2021,8,3,2,0,0,0,0,0,0,0,19.51,91.89,4.94,250.71,6.93,251.2
2021,8,3,3,0,0,0,0,0,0,0,19.39,91.87,4.98,253.21,7.03,253.6
2021,8,3,4,0,0,0,0,0,0,0,19.26,91.88,4.92,255.83,7,256.18
2021,8,3,5,6.75,4.48,6.71,2.84,0.23,0,0,19.17,91.92,4.85,257.82,6.87,258.19
2021,8,3,6,90.53,110.95,79.05,55.78,4.67,0.02,0.12,19.99,91.98,5.89,262.53,7.44,264.15
2021,8,3,7,235.88,322.45,166.5,158.38,13.55,0.22,1.05,21.91,92.05,7.89,273.58,9.76,274.78
2021,8,3,8,381.64,552.23,250.29,203.61,23.3,0.58,2.95,24.18,92.1,8.78,280.61,10.65,281.25
2021,8,3,9,432.11,754.3,314.32,144.88,27.23,0.87,4.48,26.09,92.11,8.88,284.31,10.61,284.55
2021,8,3,10,473.42,889.62,303.48,182.67,30.16,1.08,5.45,27.36,92.09,8.34,285.48,9.88,285.54
2021,8,3,11,591.17,978.4,363.81,229.89,40.67,1.55,8.3,28.23,92.02,7.72,284.36,9.08,284.35
2021,8,3,12,594.94,970.75,347.59,251.12,40.89,1.55,8.33,28.63,91.94,7.25,282.19,8.51,282.24
2021,8,3,13,532.8,889.8,238.36,320.53,34.59,1.23,6.3,28.7,91.88,6.93,279.93,8.15,280.05
2021,8,3,14,482.02,741.88,258.07,281.91,31.13,0.96,5,28.36,91.85,6.79,278.13,8.1,278.32
2021,8,3,15,360.78,540.35,188.02,278.3,22.03,0.52,2.67,27.83,91.84,6.63,276.97,8.09,277.1
2021,8,3,16,213.61,310.58,133.41,195.8,12.41,0.18,0.9,26.85,91.88,5.98,274.35,7.66,274.51
2021,8,3,17,85.53,101.5,62.2,128.76,4.33,0.02,0.1,25.37,91.94,4.49,270.3,7.17,270.31
2021,8,3,18,0,0,0,0,0,0,0,23.78,92.01,4.09,266.61,7.68,266.79
2021,8,3,19,0,0,0,0,0,0,0,22.92,92.08,4.06,263.7,7.49,263.83
2021,8,3,20,0,0,0,0,0,0,0,22.26,92.15,4.02,261.62,7.24,261.75
2021,8,3,21,0,0,0,0,0,0,0,21.83,92.2,4.15,259.58,7,259.78
2021,8,3,22,0,0,0,0,0,0,0,21.37,92.2,4.41,256.16,6.93,256.51
2021,8,3,23,0,0,0,0,0,0,0,20.9,92.15,4.78,252.78,7,253.14
2021,8,4,0,0,0,0,0,0,0,0,20.59,92.08,4.9,250.55,6.9,250.89
2021,8,4,1,0,0,0,0,0,0,0,20.36,92.03,4.81,248.94,6.72,249.37
2021,8,4,2,0,0,0,0,0,0,0,20.15,92,4.76,246,6.74,246.56
2021,8,4,3,0,0,0,0,0,0,0,20.05,91.99,4.82,244.47,6.87,245.04
2021,8,4,4,0,0,0,0,0,0,0,19.98,92,4.88,245.69,6.98,246.25
2021,8,4,5,6.32,4.25,6.29,2.11,0.21,0,0,19.97,92.03,5.07,248.38,7.12,248.9
2021,8,4,6,67.15,103.88,58.8,40.69,3.53,0.02,0.1,20.8,92.09,6.11,254.04,7.73,255.89
2021,8,4,7,216.63,309.8,177.67,88.98,12.22,0.2,0.98,22.7,92.14,8.04,265.49,10,267.04
2021,8,4,8,353.66,531.5,282.47,110.34,21.02,0.52,2.73,24.79,92.17,8.98,272.34,10.92,273.28
2021,8,4,9,459.76,721.5,339.32,148.1,27.99,0.87,4.5,26.51,92.16,9.23,276.46,11.1,276.91
2021,8,4,10,555.51,858.62,411.26,155,34.23,1.22,6.12,27.76,92.11,9.2,278.55,10.93,278.67
2021,8,4,11,570.93,921.55,401.91,170.86,36.13,1.33,7.12,28.55,92.02,9.06,279.08,10.72,278.97
2021,8,4,12,557.07,913.58,391.05,168.52,35.19,1.3,6.9,28.73,91.93,8.86,277.86,10.54,277.63
2021,8,4,13,494.94,837.08,349.73,158.07,30.62,1.06,5.3,28.53,91.85,8.57,275.65,10.33,275.29
2021,8,4,14,430.51,688.75,327.93,129.16,26.05,0.8,4.23,28.17,91.81,8.44,274.83,10.31,274.57
2021,8,4,15,278.12,494.88,219.88,93.89,16.37,0.4,2.02,27.37,91.8,8.09,274.38,10.17,274.27
2021,8,4,16,166.35,273.27,140.54,63.16,9.73,0.15,0.73,26.4,91.83,7.12,273.71,9.39,273.72
2021,8,4,17,55.77,82.73,49.19,36.66,2.82,0.02,0.08,25.02,91.88,5.68,272.05,8.6,272.13
2021,8,4,18,0,0,0,0,0,0,0,23.62,91.96,5.27,269.15,8.61,269.27
2021,8,4,19,0,0,0,0,0,0,0,22.76,92.05,5.34,265.47,8.34,265.6
2021,8,4,20,0,0,0,0,0,0,0,22.05,92.12,5.35,261.43,7.99,261.68
2021,8,4,21,0,0,0,0,0,0,0,21.42,92.13,5.54,257.45,7.95,257.8
2021,8,4,22,0,0,0,0,0,0,0,20.81,92.1,5.6,253.54,7.84,253.97
2021,8,4,23,0,0,0,0,0,0,0,20.42,92.03,5.74,252.26,7.87,252.79
2021,8,5,0,0,0,0,0,0,0,0,20.13,91.92,5.99,253.57,8.11,254.12
2021,8,5,1,0,0,0,0,0,0,0,19.87,91.84,5.96,253.49,8.06,254.13
2021,8,5,2,0,0,0,0,0,0,0,19.65,91.8,5.77,252.74,7.77,253.48
2021,8,5,3,0,0,0,0,0,0,0,19.48,91.78,5.56,251.82,7.52,252.58
2021,8,5,4,0,0,0,0,0,0,0,19.32,91.8,5.4,252.22,7.36,252.97
2021,8,5,5,6.45,4.3,6.41,3.19,0.21,0,0,19.27,91.84,5.21,252.63,7.09,253.34
2021,8,5,6,74.56,109.05,66.27,40.48,4.02,0.02,0.1,20.15,91.92,5.48,254.28,6.66,256.09
2021,8,5,7,194.73,321.17,142.23,119.94,11.69,0.18,0.9,22.55,92,7.11,267.86,8.88,269.85
2021,8,5,8,349.58,557.42,262.12,135.54,21.05,0.52,2.62,24.96,92.04,8.43,275.31,10.19,276.16
2021,8,5,9,425.09,753.05,310.09,141.37,26.95,0.84,4.33,26.78,92.02,9.05,277.34,10.81,277.68
2021,8,5,10,496.47,890.75,353.06,154.03,32.25,1.14,5.7,28.23,91.95,9.31,277.67,11.05,277.76
2021,8,5,11,463.57,967.05,315.02,150.1,32.07,1.21,6.35,29.21,91.85,9.35,277.1,11.1,277.12
2021,8,5,12,502.02,965.08,343.84,160.53,34.72,1.28,6.75,29.8,91.74,9.37,275.98,11.18,275.94
2021,8,5,13,497.8,883.15,348.91,162.07,33.01,1.15,5.7,30.04,91.64,9.39,275.11,11.32,275.03
2021,8,5,14,493.34,734.5,344.45,187.53,31.14,0.93,4.88,29.84,91.58,9.17,276.21,11.13,276.08
2021,8,5,15,337.05,531.75,234.85,164.92,20.2,0.47,2.38,28.85,91.59,8.6,277.67,10.68,277.53
2021,8,5,16,189.99,299.12,152.91,90.93,11.03,0.16,0.77,27.65,91.64,7.8,278.29,10.01,278.21
2021,8,5,17,59.01,89.88,50.7,46.68,3.12,0.02,0.08,25.93,91.73,6.01,278.21,8.99,278.24
2021,8,5,18,0,0,0,0,0,0,0,24.18,91.82,4.84,276.86,8.45,277.01
2021,8,5,19,0,0,0,0,0,0,0,23.18,91.91,4.12,273.59,7.52,273.69
2021,8,5,20,0,0,0,0,0,0,0,22.4,91.98,3.64,265.69,6.89,265.91
2021,8,5,21,0,0,0,0,0,0,0,21.9,92.03,3.77,257.06,6.81,257.34
2021,8,5,22,0,0,0,0,0,0,0,21.48,92,4.54,252.47,7.14,252.69
2021,8,5,23,0,0,0,0,0,0,0,20.98,91.91,5.02,252.44,7.31,252.65
2021,8,6,0,0,0,0,0,0,0,0,20.71,91.82,5.27,253.45,7.3,253.72
2021,8,6,1,0,0,0,0,0,0,0,20.47,91.75,5.22,252.95,7.16,253.26
2021,8,6,2,0,0,0,0,0,0,0,20.22,91.71,5.16,251.54,7.11,251.8
2021,8,6,3,0,0,0,0,0,0,0,20.02,91.71,5.13,250.05,7.12,250.37
2021,8,6,4,0,0,0,0,0,0,0,19.87,91.74,5.18,249.63,7.19,249.93
2021,8,6,5,6.23,3.77,6.16,4.25,0.18,0,0,19.75,91.78,5.24,251.32,7.19,251.62
2021,8,6,6,79.64,92.62,70.5,44.7,3.99,0.02,0.1,20.57,91.82,5.98,255.64,7.45,256.84
2021,8,6,7,205.2,289.83,161.55,99.73,10.88,0.16,0.8,22.67,91.87,7.77,267.24,9.64,268.65
2021,8,6,8,305.92,501.38,223.32,127.98,18.43,0.44,2.23,24.97,91.89,8.72,275.3,10.53,275.96
2021,8,6,9,430.39,693.9,272.29,194.28,26.57,0.79,4.02,26.86,91.88,8.83,277.88,10.54,278.14
2021,8,6,10,500.6,843.05,261.14,257.12,31.3,1.06,5.4,28.41,91.83,8.65,278.36,10.23,278.38
2021,8,6,11,594.02,969.35,391.09,204.99,39.59,1.47,7.8,29.58,91.75,8.41,278.92,9.92,278.79
2021,8,6,12,570.32,959.3,308.67,265.47,39.09,1.43,7.58,30.14,91.67,8.19,278.61,9.64,278.43
2021,8,6,13,580.81,886.77,327.59,275.65,37.04,1.27,6.4,30.01,91.58,7.99,277.08,9.45,276.98
2021,8,6,14,503.5,737.4,317.5,234.37,32.53,0.97,5.02,29.55,91.53,7.82,276.14,9.41,276.15
2021,8,6,15,390.87,539.02,229.03,261.43,23.94,0.55,2.75,28.76,91.53,7.5,275.92,9.27,275.95
2021,8,6,16,236,307.12,154.09,201.39,13.61,0.19,0.92,27.47,91.58,6.19,275.72,8.36,275.8
2021,8,6,17,81.41,95.67,66.48,84.69,4.27,0.02,0.08,25.79,91.66,4.5,276.78,7.68,276.89
2021,8,6,18,0,0,0,0,0,0,0,24.46,91.75,3.85,277.57,7.43,277.8
2021,8,6,19,0,0,0,0,0,0,0,23.8,91.84,3.69,274.73,6.93,275.04
2021,8,6,20,0,0,0,0,0,0,0,23.12,91.9,3.7,270.24,6.75,270.46
2021,8,6,21,0,0,0,0,0,0,0,22.55,91.94,3.88,263.99,6.66,264.21
2021,8,6,22,0,0,0,0,0,0,0,22,91.92,4.12,257.86,6.65,258.14
2021,8,6,23,0,0,0,0,0,0,0,21.44,91.85,4.17,252.99,6.53,253.24
2021,8,7,0,0,0,0,0,0,0,0,21.15,91.77,4.23,249.56,6.38,249.94
2021,8,7,1,0,0,0,0,0,0,0,20.98,91.7,4.53,251.41,6.67,251.99
2021,8,7,2,0,0,0,0,0,0,0,20.8,91.66,4.47,250.27,6.57,250.98
2021,8,7,3,0,0,0,0,0,0,0,20.67,91.65,4.34,248.1,6.56,249
2021,8,7,4,0,0,0,0,0,0,0,20.61,91.69,4.43,252.01,6.68,252.65
2021,8,7,5,6.89,4.12,6.82,5.3,0.23,0,0,20.55,91.76,4.15,257.06,6.22,257.15
2021,8,7,6,103.58,111.35,84.88,91.64,5.42,0.03,0.12,21.38,91.84,4.67,263.37,5.82,264.37
2021,8,7,7,282.05,332.2,164.77,268.11,15.74,0.24,1.17,23.08,91.92,6.46,279.04,8.14,279.95
2021,8,7,8,428.26,563.88,260.73,259.54,26.02,0.63,3.2,24.87,91.97,7.56,287.69,9.14,287.57
2021,8,7,9,470.2,765.42,230.73,294.17,29.12,0.91,4.73,26.34,91.97,7.59,290.94,8.96,290.46
2021,8,7,10,757.84,898.65,340.03,448.46,48.23,1.68,8.77,27.85,91.94,7.28,291.8,8.52,291.08
2021,8,7,11,874.79,972.75,351.41,528.55,56.48,2.09,11.4,28.95,91.86,6.93,290.87,8.09,289.99
2021,8,7,12,844.59,971.3,423.86,426.81,55.17,2.05,11.12,29.65,91.76,6.61,288.54,7.71,287.7
2021,8,7,13,648.97,894.33,318.78,359.45,42.39,1.48,7.55,29.71,91.67,6.37,283.47,7.42,283.22
2021,8,7,14,600.42,753.1,370.83,289.43,37.47,1.14,6,28.98,91.63,5.97,277.53,7.05,277.83
2021,8,7,15,403.83,553.52,291.79,181.2,24.63,0.59,3,28.22,91.62,5.4,273.9,6.44,274.31
2021,8,7,16,211.14,321.35,153.26,142.68,12.17,0.18,0.88,27,91.67,4.6,270.39,5.73,270.63
2021,8,7,17,73.09,99.6,64.58,48.81,4.08,0.02,0.08,25.42,91.73,3,263.26,5.04,263.15
2021,8,7,18,0,0,0,0,0,0,0,24.2,91.8,2.52,254.93,5.13,255.18
2021,8,7,19,0,0,0,0,0,0,0,23.73,91.86,2.89,251.22,5.62,251.62
2021,8,7,20,0,0,0,0,0,0,0,23.26,91.92,3.28,251.82,5.99,252.23
2021,8,7,21,0,0,0,0,0,0,0,22.82,91.96,3.66,253.5,6.25,253.9
2021,8,7,22,0,0,0,0,0,0,0,22.41,91.94,4.16,258.39,7.01,259.67
2021,8,7,23,0,0,0,0,0,0,0,22.1,91.88,4.78,264.65,7.57,265.27
2021,8,8,0,0,0,0,0,0,0,0,21.36,91.8,3.75,264.13,6.28,264.79
2021,8,8,1,0,0,0,0,0,0,0,20.95,91.74,3.31,260.89,5.54,261.48
2021,8,8,2,0,0,0,0,0,0,0,20.76,91.7,2.93,254.52,4.95,254.91
2021,8,8,3,0,0,0,0,0,0,0,20.57,91.71,2.37,247.15,4.51,247.7
2021,8,8,4,0,0,0,0,0,0,0,20.36,91.75,2.04,239.41,4.24,240.03
2021,8,8,5,6.76,4.17,6.67,6.34,0.22,0,0,20.32,91.83,1.89,235.26,3.92,236.06
2021,8,8,6,99.68,113.23,76.6,113.33,5.13,0.03,0.12,21.48,91.92,2.99,241.63,3.67,244.96
2021,8,8,7,235.7,329.62,141.59,215.2,13.52,0.22,1.05,22.97,92.01,3.79,267.87,4.53,270.1
2021,8,8,8,338.76,557.58,203.84,208.98,21.12,0.53,2.7,24.8,92.04,4.16,278.97,4.81,279.36
2021,8,8,9,490.8,751.1,298.56,236.08,31.31,0.99,5.12,26.62,92.05,4.01,282.38,4.54,281.91
2021,8,8,10,615.22,887.35,395.22,236.06,39.78,1.43,7.3,27.91,92.02,3.81,283.04,4.27,282.15
2021,8,8,11,776.27,969.33,427.76,351.85,50.82,1.92,10.5,28.64,91.95,3.62,277.94,4.07,277.06
2021,8,8,12,786.24,961.65,377.77,414.32,51.48,1.93,10.58,28.98,91.85,3.45,269.61,3.89,269.08
2021,8,8,13,724.07,878.5,306.95,454.13,45.79,1.6,8.4,29.35,91.75,3.11,261.32,3.5,261.02
2021,8,8,14,611.34,727.6,303.28,388.53,37.51,1.14,5.98,29.53,91.69,2.83,247.82,3.17,247.73
2021,8,8,15,476.44,523.5,229.73,399.47,27.65,0.64,3.2,28.96,91.68,2.71,232.27,3.07,232.23
2021,8,8,16,261.16,290.08,150.61,273.28,14.27,0.2,1,28.15,91.71,2.7,219.83,3.18,219.72
2021,8,8,17,86.35,87.77,67.95,106.55,4.41,0.02,0.1,26.54,91.77,2.12,210.53,3.35,210.09
2021,8,8,18,0,0,0,0,0,0,0,25,91.84,1.84,206.78,3.64,206.62
2021,8,8,19,0,0,0,0,0,0,0,24.33,91.91,2.01,210.35,4.16,210.32
2021,8,8,20,0,0,0,0,0,0,0,23.72,91.97,2.24,219.47,4.8,219.45
2021,8,8,21,0,0,0,0,0,0,0,23.2,92,2.54,229.25,5.38,229.18
2021,8,8,22,0,0,0,0,0,0,0,22.79,91.99,3.12,238.94,5.85,238.98
2021,8,8,23,0,0,0,0,0,0,0,22.44,91.95,3.85,248.44,6.12,248.51
2021,8,9,0,0,0,0,0,0,0,0,22.11,91.89,4.03,256.21,6.02,256.27
2021,8,9,1,0,0,0,0,0,0,0,21.78,91.85,4.13,261.84,6.39,262.41
2021,8,9,2,0,0,0,0,0,0,0,21.47,91.83,4.22,265.32,6.3,265.8
2021,8,9,3,0,0,0,0,0,0,0,21.12,91.84,3.46,263.92,5.39,264.17
2021,8,9,4,0,0,0,0,0,0,0,20.82,91.87,3.09,261.71,5.1,261.99
2021,8,9,5,5.98,4.12,5.88,7.35,0.18,0,0,20.56,91.9,2.84,261.6,4.71,261.61
2021,8,9,6,95.29,112.62,84.7,52.07,5.23,0.03,0.15,21.18,91.94,3.49,264.86,4.28,265.81
2021,8,9,7,278.53,338.48,226.7,118.54,15.91,0.26,1.27,22.84,92,4.11,275.45,4.93,276.83
